player_name_ep,player_link_ep,date_of_birth,nation,player_pos,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description
Matt Bradley,https://www.eliteprospects.com/player/9093/matt-bradley,6/13/1978,Canada,RW/LW,191,91,R,,,"('4', '102', '1996')",['1-time OHL Third All-Star Team'],Cousins: Sydney McKibbon & Matt Bradley
Mathieu Biron,https://www.eliteprospects.com/player/9083/mathieu-biron,4/29/1980,Canada,D,198,106,R,,,"('1', '21', '1998')","['1-time U20 WJC Bronze Medal', '1-time AHL Calder Cup Champion', '1-time CHL All-Rookie Team', '1-time QMJHL All-Rookie Team', '1-time U20 WJC All-Star Team']","Brother: Martin Biron
Nephew: Jacob Biron"
Ivan Majesky,https://www.eliteprospects.com/player/8630/ivan-majesky,9/2/1976,Slovakia,D,196,109,R,,,"('9', '267', '2001')",['1-time World Championship Bronze Medal'],"Ivan Majeský was known as a stay-at-home defenseman, who relied on his reach and played a simple game from the backend. A terrific penalty killer, he did not offer much offensively.
- Erik K."
Jeff Friesen,https://www.eliteprospects.com/player/9159/jeff-friesen,8/5/1976,Canada / Germany,LW,185,92,L,,,"('1', '11', '1994')","['2-time U20 WJC Gold Medal', '2-time World Championship Gold Medal', '1-time World Championship Silver Medal', '1-time CHL All-Rookie Team', '1-time CHL Rookie of the Year', '1-time DEL Champion', '1-time Hlinka Gretzky Cup Most Points', '1-time NHL All-Rookie Team', '1-time NHL Stanley Cup Champion', '1-time WHL Rookie of the Year (Jim Piggott Trophy)']",Nephew: Cayden Kulscar
Rico Fata,https://www.eliteprospects.com/player/8755/rico-fata,2/12/1980,Canada / Italy,C,180,92,L,['Speedster'],,"('1', '6', '1998')","['1-time U20 WJC Silver Medal', '1-time AHL All-Rookie Team', '1-time AHL Calder Cup Champion', '1-time AHL Second All-Star Team', '1-time DEL Champion']",Brother: Drew Fata
Petr Sykora,https://www.eliteprospects.com/player/10858/petr-sykora,12/21/1978,Czechia,RW,191,107,R,,,"('3', '76', '1997')","['2-time Czech Extraliga Champion', '3-time Czech Extraliga Most Goals', '1-time Czech Extraliga Player of the Year', '2-time NL Champion', '2-time NL Media All-Star Team', '1-time NL Most Goals', '1-time Spengler Cup Winner']",Sýkora is a skilled forward with a terrific shot and scoring instincts. Also skates very well.
Jakub Klepis,https://www.eliteprospects.com/player/9609/jakub-klepis,6/5/1984,Czechia,C/RW,186,89,R,,,"('1', '16', '2002')","['1-time World Championship Gold Medal', '1-time U18 WJC Bronze Medal', '1-time AHL Calder Cup Champion', '2-time Czech Extraliga Champion', '2-time KHL Gagarin Cup Champion']","A forward who is able to play in the center and wing. Klepis is an offensive player whose strengths lie in his size, skating and shot. Klepis' biggest weaknesses are his limited defensive abilities and lack of physicality."
Mike Green,https://www.eliteprospects.com/player/12770/mike-green,10/23/1979,Canada,C,180,86,R,,,,[],Son: Liam Green
Boyd Kane,https://www.eliteprospects.com/player/10206/boyd-kane,4/18/1978,Canada,LW/C,188,100,L,,,"('4', '114', '1998')",['3-time AHL Calder Cup Champion'],Kane is a big two-way winger. He likes to play a physical game and go to the net. Could improve his skating.
Joey Tenute,https://www.eliteprospects.com/player/11557/joey-tenute,4/2/1983,Canada,C,175,86,L,,,"('8', '261', '2003')","['1-time AHL Calder Cup Champion', '1-time ECHL All-Rookie Team', '1-time ECHL Rookie of the Year (John A Daley Trophy)', '1-time ECHL Second All-Star Team', '1-time HockeyAllsvenskan Most Assists', '1-time HockeyAllsvenskan Most Points']","Tenute is a skilled forward with strong playmaking ablity. Excels on the powerplay with his vision and passing game.

On the downside, he is diminutive and the lack if size hurts in him physical contests."
Louis Robitaille,https://www.eliteprospects.com/player/11752/louis-robitaille,3/16/1982,Canada,LW/D,188,102,L,,,,['1-time AHL Calder Cup Champion'],Son: Kayden Robitaille
David Steckel,https://www.eliteprospects.com/player/9388/david-steckel,3/15/1982,USA,C,195,101,L,['Face-Off Specialist'],,"('1', '30', '2001')","['1-time AHL Calder Cup Champion', '1-time NCAA (CCHA) Champion']",
Eric Fehr,https://www.eliteprospects.com/player/10352/eric-fehr,9/7/1985,Canada,C,193,94,R,,,"('1', '18', '2003')","['1-time AHL Calder Cup Champion', '1-time CHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time Spengler Cup Winner', '1-time WHL (East) First All-Star Team', '1-time WHL Most Goals', '1-time WHL Most Points (Bobby Clarke Trophy)', '1-time WHL Player of the Year (Four Broncos Trophy)']",
Brian Pothier,https://www.eliteprospects.com/player/8917/brian-pothier,4/15/1977,USA,D,186,91,R,,,,"['2-time AHL Second All-Star Team', '1-time NCAA (East) Second All-American Team']","Pothier is a smart defenseman with a solid all-around game. Calm and poised with the puck, a good passer and powerplay quarterback. Has leadership qualities."
John Erskine,https://www.eliteprospects.com/player/9148/john-erskine,6/26/1980,Canada,D,193,100,L,,,"('2', '39', '1998')","['1-time CHL First All-Star Team', '1-time OHL First All-Star Team', '1-time OHL Most Outstanding Defenseman (Max Kaminsky Trophy)', '1-time OHL Second All-Rookie Team']",
Jeff Schultz,https://www.eliteprospects.com/player/9490/jeff-schultz,2/25/1986,Canada,D,198,102,L,,,"('1', '27', '2004')","['2-time AHL Calder Cup Champion', '1-time NHL Stanley Cup Champion', '1-time Spengler Cup Winner']",Brother: Ian Schultz
Jamie Hunt,https://www.eliteprospects.com/player/9060/jamie-hunt,4/20/1984,Canada,D,188,88,L,,,,[],
Timo Helbling,https://www.eliteprospects.com/player/9551/timo-helbling,7/21/1981,Switzerland,D,190,97,R,,,"('6', '162', '1999')",['1-time NL Champion'],"Helbling is a defensive defenseman who loves to play a physical game. Hits hard and punishes opponents in the corners.
Has decent mobility for his size and good hockey sense. Doesn't contribute much offensively, though."
Nicklas Backstrom,https://www.eliteprospects.com/player/3682/nicklas-backstrom,11/23/1987,Sweden,C,184,92,L,"['Cerebral Tactician', 'PP Specialist']",,"('1', '4', '2006')","['2-time World Championship Gold Medal', '1-time Olympic Silver Medal', '1-time U18 WJC Bronze Medal', '1-time KHL Gagarin Cup Champion', '1-time NHL All-Rookie Team', '1-time NHL Most Assists', '1-time NHL Stanley Cup Champion', '1-time SHL Rookie of the Year', '2-time Swedish Junior Hockey Player of the Year (Årets Junior)']","An extremely talented two-way center. Bäckström stands out with his tremendous hockey sense and soft hands. His technical skills are very good and one of his trademarks is the way he moves the puck into the offensive zone. He stickhandles really well through traffic. Offensively his passing skills are superb. His flip passes are perhaps a bit risky, His shot is decent, although it can and should be improved, and although he is still more of a playmaker than a scorer, he has a pretty good scoring touch.

Defensively Bäckström takes care of his responsibilities and is a rather good penalty killer. He could use some work on his conditioning and skating. Not slow by any means, but there is some room for improvement. Bäckström is not an overly physical player, but he is pretty strong and tough to knock the puck off."
Viktor Kozlov,https://www.eliteprospects.com/player/8699/viktor-kozlov,2/14/1975,Russia,C/RW,196,107,R,,,"('1', '6', '1993')","['1-time U18 EJC Silver Medal', '1-time World Championship Silver Medal', '1-time U18 EJC Bronze Medal', '1-time World Championship Bronze Medal', '1-time KHL Gagarin Cup Champion']",Nephew: Ivan Kozlov
Tom Poti,https://www.eliteprospects.com/player/8918/tom-poti,3/22/1977,USA,D,190,95,L,,,"('3', '59', '1996')","['1-time U20 WJC Silver Medal', '1-time Olympic Silver Medal', '1-time NCAA (East) First All-American Team', '1-time NCAA (Hockey East) Champion', '1-time NHL All-Rookie Team']",
Tyler Sloan,https://www.eliteprospects.com/player/13428/tyler-sloan,3/15/1981,Canada,D,191,86,L,,,,['2-time AHL Calder Cup Champion'],
Oskar Osala,https://www.eliteprospects.com/player/8396/oskar-osala,12/26/1987,Finland,LW/C,193,110,L,"['Power Forward', 'Workhorse']",,"('4', '97', '2006')","['1-time AHL Calder Cup Champion', '2-time KHL Gagarin Cup Champion', '1-time Liiga Rookie of the Year', '1-time OHL Second All-Rookie Team']","Osala is a huge winger with a well-rounded game. He likes to play physically and aggressively, but also owns good scoring ability. Is a good skater for a man his size."
Staffan Kronwall,https://www.eliteprospects.com/player/543/staffan-kronwall,9/10/1982,Sweden,D,194,100,L,,,"('9', '285', '2002')","['1-time TV-Pucken Gold Medal', '1-time World Championship Gold Medal', '1-time World Championship Silver Medal', '1-time AHL Calder Cup Champion']","Staffan Kronwall was known as a defenseman with terrific reach and solid defensive acumen. A very good passer of the puck, he would also contribute offensively.
- Erik K."
Eric Belanger,https://www.eliteprospects.com/player/8758/eric-belanger,12/16/1977,Canada,C,180,84,L,,,"('4', '96', '1996')",[],Brother: Luc Bélanger
John Carlson,https://www.eliteprospects.com/player/18590/john-carlson,1/10/1990,USA,D,190,98,R,,Washington Capitals / Signed,"('1', '27', '2008')","['1-time U20 WJC Gold Medal', '1-time AHL All-Rookie Team', '2-time AHL Calder Cup Champion', '1-time CHL All-Rookie Team', '1-time NHL All-Rookie Team', '1-time NHL First All-Star Team', '1-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time OHL First All-Rookie Team', '1-time OHL Second All-Star Team', '1-time U20 WJC All-Star Team', '1-time USHL All-Rookie Team', '1-time USHL Second All-Star Team']",
Scott Walker,https://www.eliteprospects.com/player/8801/scott-walker,7/19/1973,Canada,RW,178,89,R,,,"('5', '124', '1993')","['1-time World Championship Silver Medal', '1-time CHL Third All-Star Team', '1-time OHL Second All-Star Team']","Son: Cooper Walker

Played his junior career as a defenseman but made the switch to forward during his first NHL game, playing as a winger until he retired."
Brian Fahey,https://www.eliteprospects.com/player/11569/brian-fahey,3/2/1981,USA,D,185,98,R,,,"('4', '119', '2000')","['1-time AHL Calder Cup Champion', '1-time ECHL All-Rookie Team', '2-time ICEHL Champion']",
Joel Ward,https://www.eliteprospects.com/player/11014/joel-ward,12/2/1980,Canada,RW,185,102,R,,,,[],
Cody Eakin,https://www.eliteprospects.com/player/23166/cody-eakin,5/24/1991,Canada,C,183,89,L,['Speedster'],,"('3', '85', '2009')","['1-time World Championship Gold Medal', '1-time U20 WJC Silver Medal', '1-time AHL Calder Cup Champion', '2-time WHL (East) Second All-Star Team', '1-time WHL Champion']","Father: Grant Eakin
Sisters: Cassidy Eakin, Chelsea Eakin
Uncle: Bruce Eakin"
Joel Rechlicz,https://www.eliteprospects.com/player/12128/joel-rechlicz,6/14/1987,USA,RW,193,100,R,['Enforcer'],,,[],Brother: Marc Rechlicz
Tomas Kundratek,https://www.eliteprospects.com/player/13651/tomas-kundratek,12/26/1989,Czechia,D,187,91,R,,,"('3', '90', '2008')","['1-time World Championship Gold Medal', '1-time U17 WHC Bronze Medal', '1-time World Championship Bronze Medal', '3-time Czech Extraliga Champion']","Kundrátek is a fairly well-rounded defenseman with good two-way smarts. Has a hard shot and a strong first pass. However, he could stand to play a more physical game, given his size.
- Erik K."
Jack Hillen,https://www.eliteprospects.com/player/17778/jack-hillen,1/24/1986,USA,D,178,86,L,,,,"['1-time NCAA (West) First All-American Team', '1-time USHS-MN State Champion']",
Steve Oleksy,https://www.eliteprospects.com/player/33848/steve-oleksy,2/4/1986,USA,D,184,85,R,,,,[],Brother: Dan Oleksy
Martin Erat,https://www.eliteprospects.com/player/8611/martin-erat,8/29/1981,Czechia,RW/LW,179,90,L,,,"('7', '191', '1999')","['1-time U20 WJC Gold Medal', '1-time World Championship Silver Medal', '1-time Olympic Bronze Medal', '1-time World Championship Bronze Medal', '1-time CHL Memorial Cup Champion', '2-time Czech Extraliga Champion', '1-time WHL Champion']",An incredibly fast forward who has a creative mind and reads the game well. Has a fast wrist shot. Erat isn't very strong without the puck and his defending could use some improvement.
Joey Crabb,https://www.eliteprospects.com/player/9395/joey-crabb,4/3/1983,USA,RW,185,86,R,,,"('7', '226', '2002')","['1-time AHL Calder Cup Champion', '1-time SHL Champion']","Crabb is a winger with solid all-around ability and two-way instincts. Plays an energetic, gritty game. Has a decent frame.
- Erik K."
Cameron Schilling,https://www.eliteprospects.com/player/38226/cameron-schilling,10/7/1988,USA,D,191,86,L,,,,"['1-time ICEHL Champion', '1-time NCAA (CCHA) Champion']",
Tom Wilson,https://www.eliteprospects.com/player/98663/tom-wilson,3/29/1994,Canada,RW,193,100,R,"['Agitator', 'Heavy Hitter', 'Two-Way Forward']",Washington Capitals / Signed,"('1', '16', '2012')","['1-time U17 WHC Gold Medal', '1-time Hlinka Gretzky Cup Gold Medal', '1-time NHL Stanley Cup Champion']","A big body that loves to play physical and does it well. Wilson is only an average skater, but excels when it comes to initiating physical plays, working hard and back checking. Power forward with some offensive skills. Will drop the gloves."
Evgeny Kuznetsov,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,5/19/1992,Russia,C/RW,186,98,L,,,"('1', '26', '2010')","['1-time U20 WJC Gold Medal', '2-time World Championship Gold Medal', '1-time U18 WJC Silver Medal', '1-time U20 WJC Silver Medal', '3-time World Championship Bronze Medal', '1-time NHL Stanley Cup Champion', '1-time U18 WJC All-Star Team', '2-time U20 WJC All-Star Team', '1-time U20 WJC Best Forward', '1-time U20 WJC Most Points', '1-time U20 WJC Most Valuable Player']",Brothers-in-law: Ilya Zinovyev & Danil Zinovyev
Michael Latta,https://www.eliteprospects.com/player/14436/michael-latta,5/25/1991,Canada,C,182,94,R,,,"('3', '72', '2009')",[],Cousin: Logan Stanley
Casey Wellman,https://www.eliteprospects.com/player/17844/casey-wellman,10/18/1987,USA,C,183,81,R,,,,"['1-time Champions Hockey League Champion', '1-time Champions Hockey League Most Goals', '1-time Champions Hockey League Most Points']","A smart forward, Wellman owns good skating ability and offensive vision. He is a skilled stickhandler who can shoot the puck, too. A pretty versatile offensive player, he can play both center and wing. Wellman is somewhat lacking in bulk, but can play a gritty game at times. Displays decent defensive acumen as a winger.
- Erik K."
Dustin Penner,https://www.eliteprospects.com/player/8540/dustin-penner,9/28/1982,Canada,LW,193,111,L,,,,"['1-time AHL Second All-Star Team', '1-time NCAA (Hockey East) Champion', '2-time NHL Stanley Cup Champion']",
Patrick Wey,https://www.eliteprospects.com/player/31602/patrick-wey,3/21/1991,USA,D,191,94,R,,,"('4', '115', '2009')","['1-time U20 WJC Bronze Medal', '2-time NCAA (Championship) Winner', '3-time NCAA (Hockey East) Champion']",Brother: Chris Wey
Chris Brown,https://www.eliteprospects.com/player/31273/chris-brown,2/3/1991,USA,RW/C,190,97,R,,,"('2', '36', '2009')","['1-time U18 WJC Gold Medal', '1-time U17 WHC Silver Medal', '1-time U20 WJC Bronze Medal', '1-time NCAA (CCHA) Champion']",
Julien Brouillette,https://www.eliteprospects.com/player/12123/julien-brouillette,12/5/1986,Canada,D,180,84,L,,,,[],"Brouillette is an offensive defenseman with good passing ability. Has a fine shot, too. However, he is lacking in the size department. Is a hard worker, though.
- Erik K."
Alexander Urbom,https://www.eliteprospects.com/player/7045/alexander-urbom,12/20/1990,Sweden,D,193,93,L,,,"('3', '73', '2009')",['1-time J18 SM Gold Medal'],"Urbom is a stay-at-home defenseman with the size and attitude to play a physical game. Reads the game well defensively and has good mobility. Owns an alright shot from the point, too.
- Erik K."
Peter LeBlanc,https://www.eliteprospects.com/player/12260/peter-leblanc,2/3/1988,Canada,LW/C,180,94,L,,,"('7', '186', '2006')",[],"LeBlanc is a smart forward with strong two-way ability. Handles the puck well and has good vision, too. Smallish in stature, he has a low center of gravity. Can play anywhere up front.
- Erik K."
Nicolas Deschamps,https://www.eliteprospects.com/player/16713/nicolas-deschamps,1/6/1990,Canada,W/C,185,93,L,,,"('2', '35', '2008')","['1-time U18 WJC Gold Medal', '1-time CHL All-Rookie Team', '4-time French Champion', '1-time Ligue Magnus Most Assists', '1-time Ligue Magnus Most Points (Charles Ramsey Trophy)', '1-time QMJHL All-Rookie Team', '1-time QMJHL Champion', '1-time QMJHL Offensive Rookie of the Year (Michel Bergeron Trophy)', '1-time QMJHL Second All-Star Team']","Deschamps is a speedy center with good two-way ability. Has fine puck control and a fast release on his shot. Could add some bulk, and also play with more grit.
- Erik K."
Matt Niskanen,https://www.eliteprospects.com/player/9214/matt-niskanen,12/6/1986,USA,D,183,91,R,,,"('1', '28', '2005')",['1-time NHL Stanley Cup Champion'],
Brooks Orpik,https://www.eliteprospects.com/player/8939/brooks-orpik,9/26/1980,USA,D,189,100,L,"['Defensive Defenseman', 'Heavy Hitter', 'PK Specialist']",,"('1', '18', '2000')","['1-time Olympic Silver Medal', '1-time NCAA (Championship) Winner', '2-time NCAA (Hockey East) Champion', '2-time NHL Stanley Cup Champion']","Brooks Orpik was a defenseman known for his shutdown ability. A big guy, he played a very physical game and was a quality option on the penalty kill. Put his body on the line every game and blocked a ton of shots.
- Erik K."
Tim Gleason,https://www.eliteprospects.com/player/9162/tim-gleason,1/29/1983,USA,D,183,98,L,,,"('1', '23', '2001')","['1-time Olympic Silver Medal', '1-time OHL Second All-Rookie Team', '1-time OHL Third All-Star Team']","Son : Grady Gleason
Cousins : Ben Gleason | Jacob Gleason"
Stanislav Galiev,https://www.eliteprospects.com/player/24635/stanislav-galiyev,1/17/1992,Russia,LW,186,89,R,,,"('3', '86', '2010')","['1-time Hlinka Gretzky Cup Silver Medal', '1-time Olympic Silver Medal', '1-time CHL Memorial Cup Champion', '1-time ECHL Kelly Cup Champion', '1-time KHL Gagarin Cup Champion', '1-time QMJHL All-Rookie Team', '2-time QMJHL Champion', '1-time USHL All-Rookie Team', '1-time USHL Clark Cup Champion']",
Chris Conner,https://www.eliteprospects.com/player/10995/chris-conner,12/23/1983,USA,LW,171,82,L,,,,[],"Conner is an energetic winger with outstanding speed and skating ability. Has strong all-around offensive skill and a high work rate, but lacks size. Is solid defensively.
- Erik K."
Justin Williams,https://www.eliteprospects.com/player/4506/justin-williams,10/4/1981,Canada / USA,RW,185,83,R,,,"('1', '28', '2000')","['2-time World Championship Gold Medal', '3-time NHL Stanley Cup Champion', '1-time NHL Stanley Cup MVP (Conn Smythe Trophy)']","One of the most clutch players in the NHL Game 7 history; Williams has 7 goals, 15 points, and 8 wins in 9 of these games. He won 3 Stanley Cups, 1 with the Hurricanes and 2 with the Kings, and won the Conn Smythe in 2014 with 25 points. He also won gold at the World Championship in 2004 and 2007. Williams retired in 2020 with 320 goals and 797 points."
Mike Richards,https://www.eliteprospects.com/player/8816/mike-richards,2/11/1985,Canada,C,180,89,L,['PK Specialist'],,"('1', '24', '2003')","['1-time U20 WJC Gold Medal', '1-time Olympic Gold Medal', '1-time U20 WJC Silver Medal', '1-time AHL Calder Cup Champion', '1-time CHL Memorial Cup Champion', '1-time CHL Second All-Star Team', '2-time NHL Stanley Cup Champion', '1-time OHL Champion', '1-time OHL Second All-Star Team']","Brother: Matt Richards
Cousin: Jeff Richards"
Aaron Ness,https://www.eliteprospects.com/player/17497/aaron-ness,5/18/1990,USA,D,179,83,L,,,"('2', '40', '2008')","['1-time U18 WJC Bronze Medal', '2-time AHL Calder Cup Champion', '1-time AHL Second All-Star Team', '1-time USHS-MN State Champion']","Father: Jay Ness
Ness is a puck-moving defenseman with natural offensive instincts. Has great skating and passing ability. Gets back on defense fast after joining the attack and has good hockey sense, too. However, his modest size can be a problem against bigger forwards in puck battles.
- Erik K."
Zach Sill,https://www.eliteprospects.com/player/35624/zach-sill,5/24/1988,Canada,C/LW,183,92,L,,,,['1-time MJAHL Playoffs MVP'],
Chandler Stephenson,https://www.eliteprospects.com/player/60726/chandler-stephenson,4/22/1994,Canada,C/LW,183,95,L,,Seattle Kraken / Signed,"('3', '77', '2012')","['2-time NHL Stanley Cup Champion', '1-time WHL (East) Second All-Star Team']","Brother: Colton Stephenson
Uncle: Bob Stephenson
Cousins: Joey Kocur, Logan Stephenson & Shay Stephenson"
Mike Weber,https://www.eliteprospects.com/player/11231/mike-weber,12/16/1987,USA,D,188,98,L,,,"('2', '57', '2006')",[],"Weber was known as a defensive-minded defenseman. Had good reach and size, and enjoyed playing a physical, aggressive game. Owned decent mobility and a good first pass.
- Erik K."
Garrett Mitchell,https://www.eliteprospects.com/player/21032/garrett-mitchell,9/2/1991,Canada,RW/C,180,90,R,,,"('6', '175', '2009')",['1-time U17 WHC Bronze Medal'],
Christian Djoos,https://www.eliteprospects.com/player/33201/christian-djoos,8/6/1994,Sweden,D,181,82,L,,,"('7', '195', '2012')","['1-time J18 SM Gold Medal', '1-time U18 WJC Silver Medal', '2-time U20 WJC Silver Medal', '1-time NHL Stanley Cup Champion', '1-time NL Champion']","Father: Pär Djoos, Uncle: Olle Djoos"
Shane Gersich,https://www.eliteprospects.com/player/168706/shane-gersich,7/10/1996,USA,C/LW,182,84,L,['Two-Way Forward'],,"('5', '134', '2014')","['1-time U18 WJC Gold Medal', '1-time AHL Calder Cup Champion', '1-time NCAA (Championship) Winner', '1-time NHL Stanley Cup Champion']","Father: Frank Gersich
Brother: Cade Gersich
Uncles: Aaron Broten, Neal Broten & Paul Broten"
Anthony Peluso,https://www.eliteprospects.com/player/15038/anthony-peluso,4/18/1989,Canada,RW,191,102,R,,,"('6', '160', '2007')",[],
Carl Hagelin,https://www.eliteprospects.com/player/4567/carl-hagelin,8/23/1988,Sweden,LW,180,84,L,"['Energy Forward', 'PK Specialist', 'Speedster']",,"('6', '168', '2007')","['1-time U20 WJC Silver Medal', '1-time Olympic Silver Medal', '2-time NCAA (CCHA) Champion', '1-time NCAA (West) Second All-American Team', '2-time NHL Stanley Cup Champion', '1-time U20 Nationell (Overall) Most Points']",A phenomenal skater with fine two-way qualities. Smooth and with decent hockey sense and goal scoring ability. Controls the puck fairly well and has good attitude and willingness to forecheck and work for the puck.
Nick Jensen,https://www.eliteprospects.com/player/37773/nick-jensen,9/21/1990,USA,D,185,93,R,,Ottawa Senators / Signed,"('5', '150', '2009')","['1-time World Championship Bronze Medal', '1-time NCAA (West) First All-American Team', '1-time USHL Clark Cup Champion']","Father: Jeff Jensen
Uncle: Steve Jensen
Cousins: Beau Jensen, David Jensen, Jim Jensen, Joe Jensen, Nate Jensen & Paul Jensen"
Jonas Siegenthaler,https://www.eliteprospects.com/player/105407/jonas-siegenthaler,5/6/1997,Switzerland,D,189,99,L,['Defensive Defenseman'],New Jersey Devils / Signed,"('2', '57', '2015')","['2-time World Championship Silver Medal', '1-time EYOF Bronze Medal', '1-time U18 WJC All-Star Team']","Jonas Siegenthaler is a smooth skating defenseman with a tremendous combination of size and mobility. Keeps his game simple, by not risking too much and always looking to make a short safe pass. Needs to improve his shot, despite most of the time being on target, his release is poor and it lacks power. Has fine hands and puck handling and his passes are soft and accurate, but like his shot they lack power. Stands his ground along the boards and is not afraid to use his body, while playing a reliable defensive game."
Radko Gudas,https://www.eliteprospects.com/player/18085/radko-gudas,6/5/1990,Czechia,D,183,94,R,"['Agitator', 'Defensive Defenseman', 'Heavy Hitter']",Anaheim Ducks / Signed,"('3', '66', '2010')","['1-time World Championship Gold Medal', '1-time AHL Calder Cup Champion', '1-time WHL (West) Second All-Star Team']","Father: Leo Gudas
Brother-in-Law: Michal Neuvirth
Sister: Karolina Gudasová (external link)"
Martin Fehérváry,https://www.eliteprospects.com/player/274991/martin-fehervary,10/6/1999,Slovakia,D,188,92,L,['Defensive Defenseman'],Washington Capitals / Signed,"('2', '46', '2018')",[],
Beck Malenstyn,https://www.eliteprospects.com/player/247477/beck-malenstyn,2/4/1998,Canada,LW/RW,191,91,L,,Buffalo Sabres / Signed,"('5', '145', '2016')","['1-time Hlinka Gretzky Cup Gold Medal', '1-time AHL Calder Cup Champion', '1-time WHL Champion']",
Brenden Dillon,https://www.eliteprospects.com/player/23790/brenden-dillon,11/13/1990,Canada,D,193,102,L,['Defensive Defenseman'],New Jersey Devils / Signed,,[],
Justin Schultz,https://www.eliteprospects.com/player/18241/justin-schultz,7/6/1990,Canada,D,188,88,R,,,"('2', '43', '2008')","['1-time WJAC-19 Silver Medal', '1-time AHL All-Rookie Team', '1-time AHL Best Defenseman (Eddie Shore Award)', '1-time AHL First All-Star Team', '2-time NCAA (West) First All-American Team', '1-time NHL All-Rookie Team', '2-time NHL Stanley Cup Champion']",
Conor Sheary,https://www.eliteprospects.com/player/94484/conor-sheary,6/8/1992,USA,LW/RW,173,83,L,,,,['2-time NHL Stanley Cup Champion'],Sister: Courtney Sheary
Daniel Sprong,https://www.eliteprospects.com/player/231299/daniel-sprong,3/17/1997,Netherlands / Canada,RW/LW,183,88,R,,,"('2', '46', '2015')","['1-time AHL All-Rookie Team', '1-time QMJHL All-Rookie Team']","A prolific scoring winger who possesses an elite-level skillset: has dynamic skating ability, is a creative passer, and has incredible puckhandling ability. While he is offensively dominant, he is also defensively responsible. A very hard working player who strives to improve all aspects of his game. Absolutely electric."
Anthony Mantha,https://www.eliteprospects.com/player/104045/anthony-mantha,9/16/1994,Canada,RW/LW,195,106,L,,Pittsburgh Penguins / Signed,"('1', '20', '2013')","['1-time World Championship Silver Medal', '1-time U18 WJC Bronze Medal', '1-time CHL Player of the Year', '1-time QMJHL Champion', '1-time QMJHL First All-Star Team', '2-time QMJHL Most Goals', '1-time QMJHL Most Points (Jean Beliveau Trophy)', '1-time QMJHL Most Valuable Player (Michel Brière Trophy)', '1-time QMJHL Second All-Star Team', '1-time U20 WJC All-Star Team']","Mantha is a brilliant skater with great speed. He is a dangerous scorer with a very good shot and quick release, which he loves to use. Mantha has very good size and reach and knows how to hold on to the puck. While receiving criticism for insonsistancy, he has improved his defensive play and physicality. Once he adds some grit aggressiveness into his play, Mantha has the tools to become a solid top-six NHL forward."
Michael Raffl,https://www.eliteprospects.com/player/15216/michael-raffl,12/1/1988,Austria,LW/RW,184,93,L,,,,['1-time ICEHL Champion'],"Father: Peter Raffl
Brother: Thomas Raffl
Uncle: Gerald Rauchenwald
Cousin: Alexander Rauchenwald"
Garrett Pilon,https://www.eliteprospects.com/player/49041/garrett-pilon,4/13/1998,Canada / USA,C,182,87,R,,Ottawa Senators / Signed,"('3', '87', '2016')",['1-time AHL Calder Cup Champion'],"Father: Rich Pilon
Cousin: Ryan Pilon"
Connor McMichael,https://www.eliteprospects.com/player/424496/connor-mcmichael,1/15/2001,Canada,C,183,85,L,,Washington Capitals / Signed,"('1', '25', '2019')","['1-time U20 WJC Gold Medal', '1-time U20 WJC Silver Medal', '1-time AHL All-Rookie Team', '1-time AHL Calder Cup Champion', '1-time OHL Second All-Star Team']",A smart center with impressive hockey sense. Reads the game very well and plays well in his own end too. Puckhandling is good and he has a decent nose for the net. Some consistency issues.
Brian Pinho,https://www.eliteprospects.com/player/132024/brian-pinho,5/11/1995,USA,C/RW,185,86,R,,,"('6', '174', '2013')","['1-time NCAA (Championship) Winner', '1-time USHL Clark Cup Champion']",
Philippe Maillet,https://www.eliteprospects.com/player/68740/philippe-maillet,11/7/1992,Canada,C,178,84,L,,,,"['2-time USports All-Canadian First Team', '1-time USports All-Rookie Team', '1-time USports Most Points', '1-time USports Player of the Year (Senator Joseph A Sullivan Trophy)', '2-time USports University Cup Champion']",
Aliaksei Protas,https://www.eliteprospects.com/player/517438/alexei-protas,1/6/2001,Belarus,C,198,102,L,,Washington Capitals / Signed,"('3', '91', '2019')","['1-time AHL Calder Cup Champion', '1-time WHL (East) First All-Star Team', '1-time WHL Champion']",Brother: Ilya Protas
Joe Snively,https://www.eliteprospects.com/player/193445/joe-snively,1/1/1996,USA,LW,175,82,L,,,,['2-time AHL Calder Cup Champion'],"Prominent offensive presence whenever he is on the ice. Exhibits a hunger for loose pucks and can carry it himself into the slot. Not the biggest body, but doesn't shy away from bigger bodies to create opportunities. Very accurate shot which jumps off his stick. Excellent passer and proficient puck skills. Very determined and works hard for the time and space he finds. Needs to recognize transition chances starting in his own end and the neutral zone quicker, and always be a factor in defensive as well as offensive play."
